Name,Location,Type of Bin Placed,Postal Code
People’s Association,"1 Hillview rise, Hillview CC ","3-in-1 Bin (ICT, Bulb, Battery)",667970
People’s Association,"2 Choa Chu Kang Loop, Keat Hong CC ","3-in-1 Bin (ICT, Bulb, Battery)",689687
People’s Association,"PA HQ, 9 King George's Avenue","3-in-1 Bin (ICT, Bulb, Battery)",208581
Paya Lebar Kovan CC,207 Hougang Street 21,"3-in-1 Bin (ICT, Bulb, Battery)",530207
Pioneer Zone 9 RN,Blk 602 #01-175 Jurong West Street 65 Jurong West,"3-in-1 Bin (ICT, Bulb, Battery)",640602
Potong Pasir CC,6 Potong Pasir Ave 2,"3-in-1 Bin (ICT, Bulb, Battery)",358361
Queenstown CC,365 Commonwealth Ave,"3-in-1 Bin (ICT, Bulb, Battery)",149732
Serangoon CC,10 Serangoon North Avenue 2,"3-in-1 Bin (ICT, Bulb, Battery)",555877
Sheng Siong,"720 Clementi West St 2, #01-144 ","3-in-1 Bin (ICT, Bulb, Battery)",120720
Sheng Siong,"451 Bukit Batok West Avenue 6, #01-10  ","3-in-1 Bin (ICT, Bulb, Battery)",650451
Sheng Siong,"118 Aljunied Ave 2, #01-100  ","3-in-1 Bin (ICT, Bulb, Battery)",380118
Sheng Siong,"209 New Upper Changi Rd, #01-631  ","3-in-1 Bin (ICT, Bulb, Battery)",460209
Sheng Siong,"Ang Mo Kio Drive, #A1-12  ","3-in-1 Bin (ICT, Bulb, Battery)",567720
Sheng Siong,"602A Tampines Avenue 9, #01-01  ","3-in-1 Bin (ICT, Bulb, Battery)",521602
Sheng Siong,"105 Canberra St, East Brook @ Canberra, #02-05","3-in-1 Bin (ICT, Bulb, Battery)",751104
Sheng Siong,"Blk 4 Woodlands Street 12, #02-61  ",Battery and Bulb Bin,738623
Sheng Siong,"Blk 785E Woodlands Rise, #01-01  ",Battery and Bulb Bin,735785
Sheng Siong,"Blk 573 Woodlands Drive 16, #02-01  ",Battery and Bulb Bin,730573
Sheng Siong,"Blk 182 Woodlands St 13, #01-01  ",Battery and Bulb Bin,730182
Sheng Siong,"Blk 25 Ghim Moh Link, #01-11  ",Battery and Bulb Bin,270025
Sheng Siong,"Blk 122 Ang Mo Kio Ave 3, #01-1753  ",Battery and Bulb Bin,560122
Sheng Siong,"Blk 233 Ang Mo Kio Ave 3, #01-1168  ",Battery and Bulb Bin,560233
Sheng Siong,"Blk 352 Clementi Ave 2, #01-91  ",Battery and Bulb Bin,120352
Sheng Siong,"Blk 544 Jurong West St 42, #01-97  ",Battery and Bulb Bin,640544
Sheng Siong,"Blk 18 Teck Whye Lane, #01-95  ",Battery and Bulb Bin,680018
Sheng Siong,"Blk 154A Bukit Batok West Ave 8, #01-01  ",Battery and Bulb Bin,651154
Sheng Siong,"Blk 547 Segar Road, #01-06  ",Battery and Bulb Bin,670547
Sheng Siong,"Blk 446 Fajar Rd, #01-01  ",Battery and Bulb Bin,670446
Sheng Siong,"Blk 440 Bukit Batok West Ave 8, #01-10  ",Battery and Bulb Bin,650440
Sheng Siong,"Blk 292 Bukit Batok East Avenue 6, #01-02  ",Battery and Bulb Bin,650292
Sheng Siong,"Blk 202 Marsiling Drive, #01-138  ",Battery and Bulb Bin,730202
Sheng Siong,"No.1 Woodlands Roads, #01-07  ",Battery and Bulb Bin,677899
Sheng Siong,"200 Upp Thomson Rd, #B1-01  ",Battery and Bulb Bin,574424
Sheng Siong,"Blk 85 Dawson Road, #01-01  ",Battery and Bulb Bin,141085
Sheng Siong,"Blk 420A Clementi Ave 1, #01-01  ",Battery and Bulb Bin,121420
Sheng Siong,"7 Jurong West Ave 5, #01-01  ",Battery and Bulb Bin,649486
Sheng Siong,"200 Woodlands Industrial Park E7, #01-30  ",Battery and Bulb Bin,757177
Sheng Siong,"Blk 88 Tanglin Halt Road, #01-10  ",Battery and Bulb Bin,141088
Sheng Siong,"19 Serangoon North Ave 5, #01-01  ",Battery and Bulb Bin,554913
Sheng Siong,"3 Yuan Ching Rd, #01-01A/02  ",Battery and Bulb Bin,618642
Sheng Siong,"Blk 301 Woodlands St 31, #01-217  ",Battery and Bulb Bin,730301
Sheng Siong,"Blk 61 Teban Gardens Rd, #01-21  ",Battery and Bulb Bin,600061
Sheng Siong,"Blk 52 Chin Swee Rd, #01-25",Battery and Bulb Bin,160052
Singtel,"Comcentre, 31B Exeter Road","3-in-1 Bin (ICT, Bulb, Battery)",239732
StarHub,"68 Orchard Road, Plaza Singapura, #01-36 ","3-in-1 Bin (ICT, Bulb, Battery)",238839
StarHub,"4 Tampines Central 5, Tampines Central, #02-27","3-in-1 Bin (ICT, Bulb, Battery)",529510
Sunshine Place,475 Choa Chu Kang Avenue 3,"3-in-1 Bin (ICT, Bulb, Battery)",680475
Tampines Mall,4 Tampines Central 5,"3-in-1 Bin (ICT, Bulb, Battery)",529510
Tampines North CC,2 Tampines Street 41,"3-in-1 Bin (ICT, Bulb, Battery)",529204
Tampines Changkat CC,13 Tampines Street 11,"3-in-1 Bin (ICT, Bulb, Battery)",529453
Tanjong Pagar CC,101 Cantonment Rd,"3-in-1 Bin (ICT, Bulb, Battery)",089774
Teck Ghee CC,Ang Mo Kio Avenue 10,"3-in-1 Bin (ICT, Bulb, Battery)",569734
Telok Blangah CC,"450 Telok Blangah Street 31 ,Telok Blangah CC","3-in-1 Bin (ICT, Bulb, Battery)",108943
Toa Payoh Central CC,93 Toa Payoh Central,"3-in-1 Bin (ICT, Bulb, Battery)",319194
Toa Payoh South CC,1999 Lor 8 Toa Payoh,"3-in-1 Bin (ICT, Bulb, Battery)",319258
Toa Payoh East CC,160 Lor 6 Toa Payoh,"3-in-1 Bin (ICT, Bulb, Battery)",319380
Ulu Pandan CC,170 Ghim Moh Rd,"3-in-1 Bin (ICT, Bulb, Battery)",279621
West Coast CC,2 Clementi West Street 2,"3-in-1 Bin (ICT, Bulb, Battery)",129605
Whampoa CC,300 Whampoa Drive,"3-in-1 Bin (ICT, Bulb, Battery)",327737
Yio Chu Kang CC,50 Ang Mo Kio Street 61,"3-in-1 Bin (ICT, Bulb, Battery)",569163
Yuhua CC,90 Boon Lay Way,"3-in-1 Bin (ICT, Bulb, Battery)",609958
